date,name of team1,counts of team1,name of team2,counts of team2,positive percentage of team 1,negative percentage of team1,neutral percentage of team 1,positive percentage of team 2,negative percentage of team 2,neutral percentage of team 2,Result team 1,Result team 2 ,percentageofcounts_1,percentageofcounts_2,positive_1,negative_1,neutral_1,positive_2,negative_2,neutral_2,result
1201,Celtics,108,Timberwolves,79,50.925926%,9.259259%,39.814815%,58.227848%,6.329114%,35.443038%,118,109,0.577540107,-0.422459893,0.50925926,-0.09259259,0.39814815,-0.58227848,0.06329114,0.35443038,1
1201,Bulls,50,Rockets,118,30.000000%,22.000000%,48.000000%,7.627119%,8.474576%,83.898305%,105,121,0.297619048,-0.702380952,0.3,-0.22,0.48,-0.07627119,0.08474576,0.83898305,0
1201,Raptors,141,Cavaliers,24,31.914894%,10.638298%,57.446809%,83.333333%,4.166667%,12.500000%,106,95,0.854545455,-0.145454545,0.31914894,-0.10638298,0.57446809,-0.83333333,0.04166667,0.125,1
1201,Pacers,22,Kings,42,36.363636%,18.181818%,45.454545%,47.619048%,11.904762%,40.476190%,110,111,0.34375,-0.65625,0.36363636,-0.18181818,0.45454545,-0.47619048,0.11904762,0.4047619,0
1126,Cavaliers,62,Timberwolves,53,29.032258%,24.193548%,46.774194%,3.773585%,54.716981%,29.032258%,95,102,0.539130435,-0.460869565,0.29032258,-0.24193548,0.46774194,-0.03773585,0.54716981,0.29032258,0
1126,Hornets,116,Bucks,329,20.689655%,7.758621%,71.551724%,3.647416%,86.930091%,20.689655%,110,107,0.260674157,-0.739325843,0.20689655,-0.07758621,0.71551724,-0.03647416,0.86930091,0.20689655,1
1126,Wizards,223,Rockets,216,40.358744%,7.623318%,52.017937%,12.037037%,55.555556%,40.358744%,135,131,0.507972665,-0.492027335,0.40358744,-0.07623318,0.52017937,-0.12037037,0.55555556,0.40358744,1
1126,Bulls,110,Spurs,105,22.727273%,13.636364%,63.636364%,10.476190%,46.666667%,22.727273%,107,108,0.511627907,-0.488372093,0.22727273,-0.13636364,0.63636364,-0.1047619,0.46666667,0.22727273,0
1126,Pelicans,104,Celtics,178,36.538462%,20.192308%,43.269231%,29.775281%,37.640449%,36.538462%,107,124,0.368794326,-0.631205674,0.36538462,-0.20192308,0.43269231,-0.29775281,0.37640449,0.36538462,0
1126,Jazz,79,Pacers,33,15.189873%,51.898734%,32.911392%,21.212121%,51.515152%,15.189873%,88,121,0.705357143,-0.294642857,0.15189873,-0.51898734,0.32911392,-0.21212121,0.51515152,0.15189873,0
1126,Warriors,154,Magic,57,41.558442%,22.077922%,36.363636%,1.754386%,14.035088%,41.558442%,116,110,0.72985782,-0.27014218,0.41558442,-0.22077922,0.36363636,-0.01754386,0.14035088,0.41558442,1
1127,Pistons,97,Knicks,157,30.927835%,14.432990%,54.639175%,16.560510%,46.496815%,30.927835%,115,108,0.381889764,-0.618110236,0.30927835,-0.1443299,0.54639175,-0.1656051,0.46496815,0.30927835,1
1127,Heat,100,Hawks,75,23.000000%,18.000000%,59.000000%,10.666667%,54.666667%,23.000000%,113,115,0.571428571,-0.428571429,0.23,-0.18,0.59,-0.10666667,0.54666667,0.23,0
1127,Grizzlies,103,Raptors,174,29.126214%,19.417476%,51.456311%,12.068966%,66.091954%,29.126214%,114,122,0.371841155,-0.628158845,0.29126214,-0.19417476,0.51456311,-0.12068966,0.66091954,0.29126214,0
1127,Nuggets,431,Lakers,676,31.322506%,6.496520%,62.180974%,30.769231%,27.366864%,31.322506%,117,85,0.38934056,-0.61065944,0.31322506,-0.0649652,0.62180974,-0.30769231,0.27366864,0.31322506,1
1127,Suns,87,Pacers,82,28.735632%,6.896552%,64.367816%,2.439024%,65.853659%,28.735632%,104,109,0.514792899,-0.485207101,0.28735632,-0.06896552,0.64367816,-0.02439024,0.65853659,0.28735632,0
1128,Hornets,80,Hawks,79,30.000000%,7.500000%,62.500000%,21.518987%,30.379747%,30.000000%,108,94,0.503144654,-0.496855346,0.3,-0.075,0.625,-0.21518987,0.30379747,0.3,1
1128,76ers,139,Knicks,107,51.079137%,12.949640%,35.971223%,13.084112%,58.878505%,51.079137%,117,91,0.56504065,-0.43495935,0.51079137,-0.1294964,0.35971223,-0.13084112,0.58878505,0.51079137,1
1128,Nets,132,Jazz,191,28.787879%,9.090909%,62.121212%,13.612565%,74.345550%,28.787879%,91,101,0.408668731,-0.591331269,0.28787879,-0.09090909,0.62121212,-0.13612565,0.7434555,0.28787879,0
1128,Rockets,96,Mavericks,21,14.583333%,21.875000%,63.541667%,4.761905%,76.190476%,14.583333%,108,128,0.820512821,-0.179487179,0.14583333,-0.21875,0.63541667,-0.04761905,0.76190476,0.14583333,0
1128,Bucks,35,Bulls,94,11.428571%,5.714286%,82.857143%,18.085106%,36.170213%,11.428571%,116,113,0.271317829,-0.728682171,0.11428571,-0.05714286,0.82857143,-0.18085106,0.36170213,0.11428571,1
1128,Thunder,90,Cavaliers,53,43.333333%,10.000000%,46.666667%,13.207547%,71.698113%,43.333333%,110,83,0.629370629,-0.370629371,0.43333333,-0.1,0.46666667,-0.13207547,0.71698113,0.43333333,1
1128,Pelicans,66,Wizards,52,48.484848%,12.121212%,39.393939%,11.538462%,28.846154%,48.484848%,125,104,0.559322034,-0.440677966,0.48484848,-0.12121212,0.39393939,-0.11538462,0.28846154,0.48484848,1
1128,Timberwolves,28,Spurs,99,46.428571%,10.714286%,42.857143%,10.101010%,36.363636%,46.428571%,128,89,0.220472441,-0.779527559,0.46428571,-0.10714286,0.42857143,-0.1010101,0.36363636,0.46428571,1
1128,Trail Blazers,60,Magic,200,85.000000%,0.000000%,15.000000%,1.000000%,27.000000%,85.000000%,115,112,0.230769231,-0.769230769,0.85,0,0.15,-0.01,0.27,0.85,1
1128,Clippers,60,Suns,101,41.666667%,5.000000%,53.333333%,5.940594%,78.217822%,41.666667%,115,99,0.372670807,-0.627329193,0.41666667,-0.05,0.53333333,-0.05940594,0.78217822,0.41666667,1
